service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Fr,0,0,0,0,1,0,0,20160101,20161231
FrSaSu,0,0,0,0,1,1,1,20160101,20161231
FrSu,0,0,0,0,1,0,1,20160101,20161231
Mo,1,0,0,0,0,0,0,20160101,20161231
MoTuWeTh,1,1,1,1,0,0,0,20160101,20161231
MoTuWeThFr,1,1,1,1,1,0,0,20160101,20161231
MoTuWeThFrSaSu,1,1,1,1,1,1,1,20160101,20161231
MoTuWeThFrSu,1,1,1,1,1,0,1,20160101,20161231
Sa,0,0,0,0,0,1,0,20160101,20161231
SaSu,0,0,0,0,0,1,1,20160101,20161231
Su,0,0,0,0,0,0,1,20160101,20161231
