fare_id,route_id,origin_id,destination_id,contains_id
hsr-std-rsv-adu-taipei-banqiao,r-wsj-thsr,taipei,banqiao,
hsr-std-rsv-adu-taipei-taoyuan,r-wsj-thsr,taipei,taoyuan,
hsr-std-rsv-adu-taipei-hsinchu,r-wsj-thsr,taipei,hsinchu,
hsr-std-rsv-adu-taipei-miaoli,r-wsj-thsr,taipei,miaoli,
hsr-std-rsv-adu-taipei-taichung,r-wsj-thsr,taipei,taichung,
hsr-std-rsv-adu-taipei-changhua,r-wsj-thsr,taipei,changhua,
hsr-std-rsv-adu-taipei-yunlin,r-wsj-thsr,taipei,yunlin,
hsr-std-rsv-adu-taipei-chiayi,r-wsj-thsr,taipei,chiayi,
hsr-std-rsv-adu-taipei-tainan,r-wsj-thsr,taipei,tainan,
hsr-std-rsv-adu-taipei-zhuoying,r-wsj-thsr,taipei,zhuoying,
hsr-std-rsv-adu-banqiao-taoyuan,r-wsj-thsr,banqiao,taoyuan,
hsr-std-rsv-adu-banqiao-hsinchu,r-wsj-thsr,banqiao,hsinchu,
hsr-std-rsv-adu-banqiao-miaoli,r-wsj-thsr,banqiao,miaoli,
hsr-std-rsv-adu-banqiao-taichung,r-wsj-thsr,banqiao,taichung,
hsr-std-rsv-adu-banqiao-changhua,r-wsj-thsr,banqiao,changhua,
hsr-std-rsv-adu-banqiao-yunlin,r-wsj-thsr,banqiao,yunlin,
hsr-std-rsv-adu-banqiao-chiayi,r-wsj-thsr,banqiao,chiayi,
hsr-std-rsv-adu-banqiao-tainan,r-wsj-thsr,banqiao,tainan,
hsr-std-rsv-adu-banqiao-zhuoying,r-wsj-thsr,banqiao,zhuoying,
hsr-std-rsv-adu-taoyuan-hsinchu,r-wsj-thsr,taoyuan,hsinchu,
hsr-std-rsv-adu-taoyuan-miaoli,r-wsj-thsr,taoyuan,miaoli,
hsr-std-rsv-adu-taoyuan-taichung,r-wsj-thsr,taoyuan,taichung,
hsr-std-rsv-adu-taoyuan-changhua,r-wsj-thsr,taoyuan,changhua,
hsr-std-rsv-adu-taoyuan-yunlin,r-wsj-thsr,taoyuan,yunlin,
hsr-std-rsv-adu-taoyuan-chiayi,r-wsj-thsr,taoyuan,chiayi,
hsr-std-rsv-adu-taoyuan-tainan,r-wsj-thsr,taoyuan,tainan,
hsr-std-rsv-adu-taoyuan-zhuoying,r-wsj-thsr,taoyuan,zhuoying,
hsr-std-rsv-adu-hsinchu-miaoli,r-wsj-thsr,hsinchu,miaoli,
hsr-std-rsv-adu-hsinchu-taichung,r-wsj-thsr,hsinchu,taichung,
hsr-std-rsv-adu-hsinchu-changhua,r-wsj-thsr,hsinchu,changhua,
hsr-std-rsv-adu-hsinchu-yunlin,r-wsj-thsr,hsinchu,yunlin,
hsr-std-rsv-adu-hsinchu-chiayi,r-wsj-thsr,hsinchu,chiayi,
hsr-std-rsv-adu-hsinchu-tainan,r-wsj-thsr,hsinchu,tainan,
hsr-std-rsv-adu-hsinchu-zhuoying,r-wsj-thsr,hsinchu,zhuoying,
hsr-std-rsv-adu-miaoli-taichung,r-wsj-thsr,miaoli,taichung,
hsr-std-rsv-adu-miaoli-changhua,r-wsj-thsr,miaoli,changhua,
hsr-std-rsv-adu-miaoli-yunlin,r-wsj-thsr,miaoli,yunlin,
hsr-std-rsv-adu-miaoli-chiayi,r-wsj-thsr,miaoli,chiayi,
hsr-std-rsv-adu-miaoli-tainan,r-wsj-thsr,miaoli,tainan,
hsr-std-rsv-adu-miaoli-zhuoying,r-wsj-thsr,miaoli,zhuoying,
hsr-std-rsv-adu-taichung-changhua,r-wsj-thsr,taichung,changhua,
hsr-std-rsv-adu-taichung-yunlin,r-wsj-thsr,taichung,yunlin,
hsr-std-rsv-adu-taichung-chiayi,r-wsj-thsr,taichung,chiayi,
hsr-std-rsv-adu-taichung-tainan,r-wsj-thsr,taichung,tainan,
hsr-std-rsv-adu-taichung-zhuoying,r-wsj-thsr,taichung,zhuoying,
hsr-std-rsv-adu-changhua-yunlin,r-wsj-thsr,changhua,yunlin,
hsr-std-rsv-adu-changhua-chiayi,r-wsj-thsr,changhua,chiayi,
hsr-std-rsv-adu-changhua-tainan,r-wsj-thsr,changhua,tainan,
hsr-std-rsv-adu-changhua-zhuoying,r-wsj-thsr,changhua,zhuoying,
hsr-std-rsv-adu-yunlin-chiayi,r-wsj-thsr,yunlin,chiayi,
hsr-std-rsv-adu-yunlin-tainan,r-wsj-thsr,yunlin,tainan,
hsr-std-rsv-adu-yunlin-zhuoying,r-wsj-thsr,yunlin,zhuoying,
hsr-std-rsv-adu-chiayi-tainan,r-wsj-thsr,chiayi,tainan,
hsr-std-rsv-adu-chiayi-zhuoying,r-wsj-thsr,chiayi,zhuoying,
hsr-std-rsv-adu-tainan-zhuoying,r-wsj-thsr,tainan,zhuoying,
hsr-std-non-adu-taipei-banqiao,r-wsj-thsr,taipei,banqiao,
hsr-std-non-adu-taipei-taoyuan,r-wsj-thsr,taipei,taoyuan,
hsr-std-non-adu-taipei-hsinchu,r-wsj-thsr,taipei,hsinchu,
hsr-std-non-adu-taipei-miaoli,r-wsj-thsr,taipei,miaoli,
hsr-std-non-adu-taipei-taichung,r-wsj-thsr,taipei,taichung,
hsr-std-non-adu-taipei-changhua,r-wsj-thsr,taipei,changhua,
hsr-std-non-adu-taipei-yunlin,r-wsj-thsr,taipei,yunlin,
hsr-std-non-adu-taipei-chiayi,r-wsj-thsr,taipei,chiayi,
hsr-std-non-adu-taipei-tainan,r-wsj-thsr,taipei,tainan,
hsr-std-non-adu-taipei-zhuoying,r-wsj-thsr,taipei,zhuoying,
hsr-std-non-adu-banqiao-taoyuan,r-wsj-thsr,banqiao,taoyuan,
hsr-std-non-adu-banqiao-hsinchu,r-wsj-thsr,banqiao,hsinchu,
hsr-std-non-adu-banqiao-miaoli,r-wsj-thsr,banqiao,miaoli,
hsr-std-non-adu-banqiao-taichung,r-wsj-thsr,banqiao,taichung,
hsr-std-non-adu-banqiao-changhua,r-wsj-thsr,banqiao,changhua,
hsr-std-non-adu-banqiao-yunlin,r-wsj-thsr,banqiao,yunlin,
hsr-std-non-adu-banqiao-chiayi,r-wsj-thsr,banqiao,chiayi,
hsr-std-non-adu-banqiao-tainan,r-wsj-thsr,banqiao,tainan,
hsr-std-non-adu-banqiao-zhuoying,r-wsj-thsr,banqiao,zhuoying,
hsr-std-non-adu-taoyuan-hsinchu,r-wsj-thsr,taoyuan,hsinchu,
hsr-std-non-adu-taoyuan-miaoli,r-wsj-thsr,taoyuan,miaoli,
hsr-std-non-adu-taoyuan-taichung,r-wsj-thsr,taoyuan,taichung,
hsr-std-non-adu-taoyuan-changhua,r-wsj-thsr,taoyuan,changhua,
hsr-std-non-adu-taoyuan-yunlin,r-wsj-thsr,taoyuan,yunlin,
hsr-std-non-adu-taoyuan-chiayi,r-wsj-thsr,taoyuan,chiayi,
hsr-std-non-adu-taoyuan-tainan,r-wsj-thsr,taoyuan,tainan,
hsr-std-non-adu-taoyuan-zhuoying,r-wsj-thsr,taoyuan,zhuoying,
hsr-std-non-adu-hsinchu-miaoli,r-wsj-thsr,hsinchu,miaoli,
hsr-std-non-adu-hsinchu-taichung,r-wsj-thsr,hsinchu,taichung,
hsr-std-non-adu-hsinchu-changhua,r-wsj-thsr,hsinchu,changhua,
hsr-std-non-adu-hsinchu-yunlin,r-wsj-thsr,hsinchu,yunlin,
hsr-std-non-adu-hsinchu-chiayi,r-wsj-thsr,hsinchu,chiayi,
hsr-std-non-adu-hsinchu-tainan,r-wsj-thsr,hsinchu,tainan,
hsr-std-non-adu-hsinchu-zhuoying,r-wsj-thsr,hsinchu,zhuoying,
hsr-std-non-adu-miaoli-taichung,r-wsj-thsr,miaoli,taichung,
hsr-std-non-adu-miaoli-changhua,r-wsj-thsr,miaoli,changhua,
hsr-std-non-adu-miaoli-yunlin,r-wsj-thsr,miaoli,yunlin,
hsr-std-non-adu-miaoli-chiayi,r-wsj-thsr,miaoli,chiayi,
hsr-std-non-adu-miaoli-tainan,r-wsj-thsr,miaoli,tainan,
hsr-std-non-adu-miaoli-zhuoying,r-wsj-thsr,miaoli,zhuoying,
hsr-std-non-adu-taichung-changhua,r-wsj-thsr,taichung,changhua,
hsr-std-non-adu-taichung-yunlin,r-wsj-thsr,taichung,yunlin,
hsr-std-non-adu-taichung-chiayi,r-wsj-thsr,taichung,chiayi,
hsr-std-non-adu-taichung-tainan,r-wsj-thsr,taichung,tainan,
hsr-std-non-adu-taichung-zhuoying,r-wsj-thsr,taichung,zhuoying,
hsr-std-non-adu-changhua-yunlin,r-wsj-thsr,changhua,yunlin,
hsr-std-non-adu-changhua-chiayi,r-wsj-thsr,changhua,chiayi,
hsr-std-non-adu-changhua-tainan,r-wsj-thsr,changhua,tainan,
hsr-std-non-adu-changhua-zhuoying,r-wsj-thsr,changhua,zhuoying,
hsr-std-non-adu-yunlin-chiayi,r-wsj-thsr,yunlin,chiayi,
hsr-std-non-adu-yunlin-tainan,r-wsj-thsr,yunlin,tainan,
hsr-std-non-adu-yunlin-zhuoying,r-wsj-thsr,yunlin,zhuoying,
hsr-std-non-adu-chiayi-tainan,r-wsj-thsr,chiayi,tainan,
hsr-std-non-adu-chiayi-zhuoying,r-wsj-thsr,chiayi,zhuoying,
hsr-std-non-adu-tainan-zhuoying,r-wsj-thsr,tainan,zhuoying,
hsr-bus-adu-taipei-banqiao,r-wsj-thsr,taipei,banqiao,
hsr-bus-adu-taipei-taoyuan,r-wsj-thsr,taipei,taoyuan,
hsr-bus-adu-taipei-hsinchu,r-wsj-thsr,taipei,hsinchu,
hsr-bus-adu-taipei-miaoli,r-wsj-thsr,taipei,miaoli,
hsr-bus-adu-taipei-taichung,r-wsj-thsr,taipei,taichung,
hsr-bus-adu-taipei-changhua,r-wsj-thsr,taipei,changhua,
hsr-bus-adu-taipei-yunlin,r-wsj-thsr,taipei,yunlin,
hsr-bus-adu-taipei-chiayi,r-wsj-thsr,taipei,chiayi,
hsr-bus-adu-taipei-tainan,r-wsj-thsr,taipei,tainan,
hsr-bus-adu-taipei-zhuoying,r-wsj-thsr,taipei,zhuoying,
hsr-bus-adu-banqiao-taoyuan,r-wsj-thsr,banqiao,taoyuan,
hsr-bus-adu-banqiao-hsinchu,r-wsj-thsr,banqiao,hsinchu,
hsr-bus-adu-banqiao-miaoli,r-wsj-thsr,banqiao,miaoli,
hsr-bus-adu-banqiao-taichung,r-wsj-thsr,banqiao,taichung,
hsr-bus-adu-banqiao-changhua,r-wsj-thsr,banqiao,changhua,
hsr-bus-adu-banqiao-yunlin,r-wsj-thsr,banqiao,yunlin,
hsr-bus-adu-banqiao-chiayi,r-wsj-thsr,banqiao,chiayi,
hsr-bus-adu-banqiao-tainan,r-wsj-thsr,banqiao,tainan,
hsr-bus-adu-banqiao-zhuoying,r-wsj-thsr,banqiao,zhuoying,
hsr-bus-adu-taoyuan-hsinchu,r-wsj-thsr,taoyuan,hsinchu,
hsr-bus-adu-taoyuan-miaoli,r-wsj-thsr,taoyuan,miaoli,
hsr-bus-adu-taoyuan-taichung,r-wsj-thsr,taoyuan,taichung,
hsr-bus-adu-taoyuan-changhua,r-wsj-thsr,taoyuan,changhua,
hsr-bus-adu-taoyuan-yunlin,r-wsj-thsr,taoyuan,yunlin,
hsr-bus-adu-taoyuan-chiayi,r-wsj-thsr,taoyuan,chiayi,
hsr-bus-adu-taoyuan-tainan,r-wsj-thsr,taoyuan,tainan,
hsr-bus-adu-taoyuan-zhuoying,r-wsj-thsr,taoyuan,zhuoying,
hsr-bus-adu-hsinchu-miaoli,r-wsj-thsr,hsinchu,miaoli,
hsr-bus-adu-hsinchu-taichung,r-wsj-thsr,hsinchu,taichung,
hsr-bus-adu-hsinchu-changhua,r-wsj-thsr,hsinchu,changhua,
hsr-bus-adu-hsinchu-yunlin,r-wsj-thsr,hsinchu,yunlin,
hsr-bus-adu-hsinchu-chiayi,r-wsj-thsr,hsinchu,chiayi,
hsr-bus-adu-hsinchu-tainan,r-wsj-thsr,hsinchu,tainan,
hsr-bus-adu-hsinchu-zhuoying,r-wsj-thsr,hsinchu,zhuoying,
hsr-bus-adu-miaoli-taichung,r-wsj-thsr,miaoli,taichung,
hsr-bus-adu-miaoli-changhua,r-wsj-thsr,miaoli,changhua,
hsr-bus-adu-miaoli-yunlin,r-wsj-thsr,miaoli,yunlin,
hsr-bus-adu-miaoli-chiayi,r-wsj-thsr,miaoli,chiayi,
hsr-bus-adu-miaoli-tainan,r-wsj-thsr,miaoli,tainan,
hsr-bus-adu-miaoli-zhuoying,r-wsj-thsr,miaoli,zhuoying,
hsr-bus-adu-taichung-changhua,r-wsj-thsr,taichung,changhua,
hsr-bus-adu-taichung-yunlin,r-wsj-thsr,taichung,yunlin,
hsr-bus-adu-taichung-chiayi,r-wsj-thsr,taichung,chiayi,
hsr-bus-adu-taichung-tainan,r-wsj-thsr,taichung,tainan,
hsr-bus-adu-taichung-zhuoying,r-wsj-thsr,taichung,zhuoying,
hsr-bus-adu-changhua-yunlin,r-wsj-thsr,changhua,yunlin,
hsr-bus-adu-changhua-chiayi,r-wsj-thsr,changhua,chiayi,
hsr-bus-adu-changhua-tainan,r-wsj-thsr,changhua,tainan,
hsr-bus-adu-changhua-zhuoying,r-wsj-thsr,changhua,zhuoying,
hsr-bus-adu-yunlin-chiayi,r-wsj-thsr,yunlin,chiayi,
hsr-bus-adu-yunlin-tainan,r-wsj-thsr,yunlin,tainan,
hsr-bus-adu-yunlin-zhuoying,r-wsj-thsr,yunlin,zhuoying,
hsr-bus-adu-chiayi-tainan,r-wsj-thsr,chiayi,tainan,
hsr-bus-adu-chiayi-zhuoying,r-wsj-thsr,chiayi,zhuoying,
hsr-bus-adu-tainan-zhuoying,r-wsj-thsr,tainan,zhuoying,
