trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
581,06:30:00,06:30:00,s-wsmc0tmu3t19-taichunghsr,0,Zuoying,0,0,,1
581,06:44:00,06:44:00,s-wsjxzdpgumqw-changhuahsr,1,Zuoying,0,0,,1
581,06:55:00,06:55:00,s-wsjxh1h3u717-yunlinhsr,2,Zuoying,0,0,,1
581,07:07:00,07:07:00,s-wsjt6n8v2ug1-chiayihsr,3,Zuoying,0,0,,1
581,07:28:00,07:28:00,s-wsjd3jm6rejk-tainanhsr,4,Zuoying,0,0,,1
581,07:42:00,07:42:00,s-wsj91dhcyzcd-zuoyinghsr,5,Zuoying,0,0,,1
801,06:30:00,06:30:00,s-wsqqmpy19neh-taipeihsr,0,Zuoying,0,0,,1
801,06:38:00,06:38:00,s-wsqq7cxn30m9-banquaohsr,1,Zuoying,0,0,,1
801,06:51:00,06:51:00,s-wsqnq33yzj43-taoyuanhsr,2,Zuoying,0,0,,1
801,07:03:00,07:03:00,s-wsqj4k4v37dy-hsinchuhsr,3,Zuoying,0,0,,1
801,07:15:00,07:15:00,s-wsmgvrq3cyv9-miaolihsr,4,Zuoying,0,0,,1
801,07:36:00,07:36:00,s-wsmc0tmu3t19-taichunghsr,5,Zuoying,0,0,,1
801,07:49:00,07:49:00,s-wsjxzdpgumqw-changhuahsr,6,Zuoying,0,0,,1
801,08:00:00,08:00:00,s-wsjxh1h3u717-yunlinhsr,7,Zuoying,0,0,,1
801,08:12:00,08:12:00,s-wsjt6n8v2ug1-chiayihsr,8,Zuoying,0,0,,1
801,08:32:00,08:32:00,s-wsjd3jm6rejk-tainanhsr,9,Zuoying,0,0,,1
801,08:48:00,08:48:00,s-wsj91dhcyzcd-zuoyinghsr,10,Zuoying,0,0,,1
101,06:36:00,06:36:00,s-wsqqmpy19neh-taipeihsr,0,Zuoying,0,0,,1
101,06:45:00,06:45:00,s-wsqq7cxn30m9-banquaohsr,1,Zuoying,0,0,,1
101,07:26:00,07:26:00,s-wsmc0tmu3t19-taichunghsr,5,Zuoying,0,0,,1
101,08:12:00,08:12:00,s-wsj91dhcyzcd-zuoyinghsr,10,Zuoying,0,0,,1
807,07:00:00,07:00:00,s-wsqqmpy19neh-taipeihsr,0,Zuoying,0,0,,1
807,07:08:00,07:08:00,s-wsqq7cxn30m9-banquaohsr,1,Zuoying,0,0,,1
807,07:21:00,07:21:00,s-wsqnq33yzj43-taoyuanhsr,2,Zuoying,0,0,,1
807,07:33:00,07:33:00,s-wsqj4k4v37dy-hsinchuhsr,3,Zuoying,0,0,,1
807,07:45:00,07:45:00,s-wsmgvrq3cyv9-miaolihsr,4,Zuoying,0,0,,1
807,08:06:00,08:06:00,s-wsmc0tmu3t19-taichunghsr,5,Zuoying,0,0,,1
807,08:19:00,08:19:00,s-wsjxzdpgumqw-changhuahsr,6,Zuoying,0,0,,1
807,08:30:00,08:30:00,s-wsjxh1h3u717-yunlinhsr,7,Zuoying,0,0,,1
807,08:45:00,08:45:00,s-wsjt6n8v2ug1-chiayihsr,8,Zuoying,0,0,,1
807,09:04:00,09:04:00,s-wsjd3jm6rejk-tainanhsr,9,Zuoying,0,0,,1
